dup_rate,key_id,m,tail_op,n_cu_versions,current_op,eligible,dup_injected_any,n_versions_duplicated,dup_on_current,caused_violation,verdict
0.05,85,2,u,2,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,344,3,u,3,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,70,1,u,1,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,554,1,u,1,u,True,True,1,True,True,DUPLICATE
0.05,1159,1,u,1,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,679,1,u,1,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,998,1,u,1,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,862,3,u,3,u,True,True,1,False,False,MATCH_OR_OTHER
0.05,875,2,u,2,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,287,1,u,1,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,1000,1,u,1,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,217,2,u,2,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,924,1,u,1,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,346,4,u,4,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,872,1,u,1,u,True,True,1,True,True,DUPLICATE
0.05,996,1,u,1,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,327,1,u,1,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,1038,1,u,1,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,632,2,u,2,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,753,2,d,1,d,False,True,1,False,False,MATCH_OR_OTHER
0.05,84,1,u,1,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,176,1,u,1,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,213,1,u,1,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,216,1,u,1,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,257,1,u,1,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,152,2,u,2,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,894,2,u,2,u,True,True,1,False,False,MATCH_OR_OTHER
0.05,919,1,u,1,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,338,1,u,1,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,35,1,u,1,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,134,1,u,1,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,1195,4,d,3,d,False,True,1,False,False,MATCH_OR_OTHER
0.05,1149,1,u,1,u,True,False,0,False,False,MATCH_OR_OTHER
0.05,160,1,u,1,u,True,False,0,False,False,MATCH_OR_OTHER
