key_id,m,competitive_ops,tail_op,n_cu_versions,current_op,current_is_cu,current_dup_uniform,current_dup_fired,n_flags_fired,duplicate,verdict
203,1,u,u,1,u,True,0.898454,False,0,False,MATCH_OR_OTHER
1003,3,uuu,u,3,u,True,0.861298,False,1,False,MATCH_OR_OTHER
254,1,u,u,1,u,True,0.838883,False,0,False,MATCH_OR_OTHER
38,1,u,u,1,u,True,0.976134,False,0,False,MATCH_OR_OTHER
406,1,u,u,1,u,True,0.962729,False,0,False,MATCH_OR_OTHER
744,3,uuu,u,3,u,True,0.482223,False,0,False,MATCH_OR_OTHER
933,1,u,u,1,u,True,0.331067,False,0,False,MATCH_OR_OTHER
937,2,uu,u,2,u,True,0.795374,False,0,False,MATCH_OR_OTHER
455,5,uuuuu,u,5,u,True,0.395719,False,1,False,MATCH_OR_OTHER
137,4,uuuu,u,4,u,True,0.583914,False,1,False,MATCH_OR_OTHER
534,2,uu,u,2,u,True,0.232190,True,1,True,DUPLICATE
280,2,uu,u,2,u,True,0.354529,False,0,False,MATCH_OR_OTHER
1027,3,uuu,u,3,u,True,0.271211,True,1,True,DUPLICATE
1190,2,ud,d,1,d,False,-,False,1,False,MATCH_OR_OTHER
259,3,uuu,u,3,u,True,0.938264,False,0,False,MATCH_OR_OTHER
1171,5,uuuuu,u,5,u,True,0.150204,True,4,True,DUPLICATE
1199,1,u,u,1,u,True,0.760592,False,0,False,MATCH_OR_OTHER
1151,2,uu,u,2,u,True,0.905320,False,0,False,MATCH_OR_OTHER
821,2,uu,u,2,u,True,0.162454,True,1,True,DUPLICATE
891,3,uud,d,2,d,False,-,False,1,False,MATCH_OR_OTHER
1227,3,cuu,u,3,u,True,0.594219,False,2,False,MATCH_OR_OTHER
