key_id,m,competitive_lsns,competitive_ops,clean_seqs,final_seqs,n_pairs,fired_pairs,last_pair_uniform,last_pair_fired,tail_op,current_lsn,winner_vidx,winner_seq,winner_lsn,winner_op,present,violated,verdict
722,8,1272;2712;3039;3118;4141;4142;5267;7276,uuuuuuuu,1;2;3;4;5;6;7;8,1;2;3;4;5;7;8;6,7,6;7,0.099620,True,u,7276,6,8,5267,u,1,True,STALE_WINS
27,2,1273;2544,uu,1;2,1;2,1,-,0.432487,False,u,2544,1,2,2544,u,1,False,MATCH
847,1,1274,u,1,1,0,-,-,False,u,1274,0,1,1274,u,1,False,MATCH
195,6,1276;3452;4301;5141;5185;6663,uuuuuu,1;2;3;4;5;6,1;3;4;2;5;6,5,2;3,0.563942,False,u,6663,5,6,6663,u,1,False,MATCH
723,4,1277;4121;4978;6642,uuuu,1;2;3;4,1;2;3;4,3,-,0.749515,False,u,6642,3,4,6642,u,1,False,MATCH
496,1,1278,u,1,1,0,-,-,False,u,1278,0,1,1278,u,1,False,MATCH
714,23,1279;1297;1560;2327;2573;2650;3661;3886;4257;4411;4572;4894;5060;5237;5701;5795;6073;6079;6764;6777;7075;7271;7286,uuuuuuuuuuuuuuuuuuuuuud,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23,1;2;3;5;4;6;7;9;8;10;11;13;14;12;15;16;18;17;20;19;22;21;23,22,4;8;12;13;17;19;21,0.545493,False,d,7286,22,23,7286,d,0,False,MATCH
621,16,1282;1705;1731;1970;1995;2059;3176;3481;3664;4526;4806;4981;5409;5612;6635;7108,uuuuuuuuuuuuuuuu,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16,1;2;3;4;5;6;7;9;10;8;12;11;13;14;15;16,15,8;9;11,0.303497,False,u,7108,15,16,7108,u,1,False,MATCH
120,6,1283;1707;2255;3758;4992;5603,uuuuuu,1;2;3;4;5;6,1;3;2;4;5;6,5,2,0.719927,False,u,5603,5,6,5603,u,1,False,MATCH
1064,21,1284;1386;1453;2030;2414;2780;3203;3429;3973;4026;4103;4536;5321;5670;5791;6301;6423;6725;6792;6950;6985,uuuuuuuuuuuuuuuuuuuuu,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;7;6;8;10;11;9;12;13;14;15;16;17;19;18;21;20,20,6;9;10;18;20,0.098144,True,u,6985,19,21,6950,u,1,True,STALE_WINS
